id	year	month	day	deaths	wounded	latitude	longitude	group	text	link
11	1998	8	15	29	300+	54.600305	-7.298402	Konflikt v Severním Irsku	V dubnu 1998 uzavřelo Irsko se Spojeným královstvím Velkopáteční dohodu, která vedla k odzbrojení separatistické IRA i unionistické UVF. Od IRA se okamžitě odštěpila radikální sekce, která s příměřím nesouhlasila, pod názvem Skutečná IRA. Ještě během roku 1998 umístila v Severním Irsku několik bomb ukrytých v autě, nejkrvavější z nich zabila 29 a zranila přes 300 lidí ve městě Omagh. Útočníci varovali policii přes telefon, ale místo špatně popsali a policie při vyklízení místa přesunula oběti blíž k bombě. O deset let později vyšlo najevo, že britské tajné služby celou dobu útočníky odposlouchávaly, ale nezakročily.	https://en.wikipedia.org/wiki/Omagh_bombing
12	1972	1	26	27	1	50.8225	14.355278	Ostatní	Jeden z největších teroristických útoků v Evropě se odehrál na území bývalého Československa. Let 367 Jugoslávských aerolinek ze Stockholmu do Bělehradu zničila nálož, umístěná v zavazadlovém prostoru. Letadlo se ještě ve vzduchu roztrhlo na několik částí, které dopadly do okolí vesnice Srbská Kamenice. Z 28 lidí na palubě se zázračně zachránila dvacetiletá letuška Vesna Vulović. Pád z 10 160 metrů s těžkými zraněními přežila - je tak jediným člověkem, který přežil pád z podobné výšky. Švédským novinám se po útoku ozval Chorvat, který se přihlásil k útoku. Vyšetřování nehody ale k žádné konkrétní skupině nevedlo.	https://en.wikipedia.org/wiki/JAT_Flight_367
13	1974	11	21	21	182	52.482961	-1.893592	Konflikt v Severním Irsku	"V roce 1973 rozšířila IRA svoje aktivity, dosud omezené na Severní Irsko, do Anglie. O rok později už se bombový útok v Anglii odehrál průměrně každé tři dny. Rozšíření do Anglie vedlo i k domlouvě mezi IRA a policií: každá bomba měla být předem oznámena, vážnost hrozby měl útočník navíc potvrdit klíčovým slovem, známým pouze IRA a policii (kód byl ""double x""). V Birminghamu se ovšem nepovedlo smluvený postup dodržet. Útočníci nastražili pět bomb, ale blízká telefonní budka, poškozená vandaly, nefungovala. Policii tak útok oznámili až šest minut před výbuchem. Na evakuaci bylo pozdě; bomby zabily 21 lidí a 182 zranily. Hned po útoku bylo zadrženo šest Irů, kteří se později k útoku přiznali a byli odsouzeni k doživotí. Odvolací soud nicméně v roce 1991 konstatoval, že přiznání bylo vynuceno násilím, důkazy byly neplatné nebo zfalšované, a šestici mužů propustil. Dodnes tak není jasné, kdo útoky provedl."	https://en.wikipedia.org/wiki/Birmingham_pub_bombings
14	1985	4	12	18	82	40.472846	-3.644093	Arabský a islámský terorismus	Restaurace El Descanso, oblíbená americkými vojáky z nedaleké základny Torrejón, se 12. dubna stala stala terčem bombového útoku. Zahynulo osmnáct Španělů. Zpočátku byla podezírána ETA, později španělská vláda obvinila organizaci Islámský džihád, napojenou na palestinský Hizbaláh. Nikdo ovšem nebyl zadržen a vyšetřování nikam nevedlo. Až v roce 2005 Španělé požádali Pákistán o vydání člena al-Kájdy, který má mít na útoku podíl.	https://en.wikipedia.org/wiki/1985_El_Descanso_bombing
15	1979	8	27	19	7	54.102813	-6.259412	Konflikt v Severním Irsku	"Osmnáct britských vojáků zemřelo a šest bylo zraněno při nejkrvavějším útoku Irské republikánské armády (IRA) u hradu Narrow Water. Na armádní konvoj nastražila dvě bomby: první zasáhla projíždějící nákladní vůz, druhá zasahující záchranáře včetně helikoptéry. Většina mrtvých patřila k parašutistům. Těm se IRA chtěla pomstít za ""krvavou neděli"", kdy v Londonderry zahynulo po zásahu britských parašutistů proti demonstrantům čtrnáct civilistů. Za útok nebyl nikdo odsouzen."	https://en.wikipedia.org/wiki/Warrenpoint_ambush
16	1985	12	27	19	100	41.89052	12.494249	Arabský a islámský terorismus	Ve čtvrt na devět ráno zaútočili ozbrojenci z palestinské skupiny Abú Nidal na dvě evropská letiště, v Římě a ve Vídni. Útoky mířily na přepážku izraelské společnosti El Al, americké Trans World Airlines a check-in před odletem do Tel Avivu. Dohromady si vyžádali devatenáct mrtvých pasažérů a čtyři útočníky. Akce byla odvetou za izraelský útok na tuniské velitelství Abú Nidal o tři měsíce dříve. Sponzoroval ji i Libyjský režim diktátora Kaddáfího.	https://en.wikipedia.org/wiki/Rome_and_Vienna_airport_attacks
17	1982	12	6	17	30	55.043617	-7.023927	Konflikt v Severním Irsku	Diskotéka Droppin Well ve vesnici Ballykelly se stala cílem Irské národní osvobozenecké armády (INLA) v prosinci 1982. Příčinou útoku irských separatistů byl fakt, že klub často navštěvují britští vojáci z nedalekých kasáren. Při výbuchu zemřelo jedenáct vojáků a šest civilistů. Čtyři členové INLA byli za útok odsouzeni k doživotí a organizace v Irsku zakázána. Za členství od tohoto okamžiku hrozilo sedm let vězení.	https://en.wikipedia.org/wiki/Droppin_Well_bombing
18	1978	2	18	18	15	35.171435	33.369906	Arabský a islámský terorismus	Na konferenci v kyperské Nikósii přišel o život Youssef Sebai, editor egyptského deníku al-Ahram a přítel tamějšího diktátora Anvara Sádáta. Dvojice arabských útočníců si vzápětí vzala šestnáct účastníků konference jako rukojmí a pokusila se uniknout; jejich letadlu ale postupně odmítly povolit přistání Džibutsko, Sýrie a Saúdská Arábie, museli se proto vrátit na Kypr. Egyptský diktátor na místo vyslal šedesátičlenné komando, to se po nedorozumění střetlo s kyperskými silami. Na místě zůstalo osmnáct mrtvých Egypťanů. Po přestřelce se ukázalo, že Kypřani teroristy zadrželi a osvobodili rukojmí ještě před příchodem egyptského komanda.	https://en.wikipedia.org/wiki/Egyptian_raid_on_Larnaca_International_Airport
19	1972	9	5	17	0	48.139126	11.580186	Arabský a islámský terorismus	Letní olympijské hry v Mnichově 1972 chtěli Němci pojmout - v protikladu k předválečné nacistické olympiádě v Berlíně - jako bezstarostnou akci. Slabé bezpečnosti využila palestinská skupina Černé září. Kanadští sportovci, kteří se nad ránem vraceli do olympijské vesnice, nevědomky pomohli teroristům překonat zeď areálu; ti pak v izraelském domě zajali jedenáct trenérů, funkcionářů a sportovců. Požadovali propuštění 234 Palestinců a dvou zakladatelů německé Frakce Rudé armády. Mnichovská policie se několikrát pokusila rukojmí osvobodit, pokaždé neúspěšně, jeden z pokusů dokonce vysílalo několik televizních kanálů a sledovali i teroristi. Německá obrněná vozidla zase na několik hodin uvízla v dopravní zácpě. Při závěrečné přestřelce na letišti zahynuli všichni rukojmí i únosci plus jeden z policistů. Incident vedl většinu západoevropských zemí k vytvoření protiteroristické jednotky, která při mnichovském zásahu chyběla.	https://en.wikipedia.org/wiki/Munich_massacre
20	1987	6	19	21	45	41.387917	2.169919	Baskický separatismus	"Nejkrvavější útok baskické ETA se odehrál v barcelonském nákupním centru Hipercor. V pátek odpoledne zaparkovala v podzemních garážích auto s dvousetkilovou bombou. Výbuch vytvořil pětimetrovou díru v přízemní obchodního domu, zabil 21 lidí a zranil dalších 45. ETA před bombou varovala hodinu předem, policie ale odmítla místo evakuovat. Odsouzeni byli dva útočníci a dvojice šéfů ""Barcelonského komanda"" ETA, každý z nich na 794 let."	https://en.wikipedia.org/wiki/1987_Hipercor_bombing
21	1984	12	23	17	267	43.768732	11.256901	Ostatní	Deset let po vlakovém útoku skupiny Ordino Nero vybuchla bomba na stejném místě znovu. Tentokrát šlo o vlak z Neapole do Milána a bombu nenastražila extrémní pravice, ale sicilská mafie. Chtěla tak odvrátit pozornost od vyšetřování, vedené Giovannim Falconem, které začalo v roce 1984 a skončilo obžalovou pěti stovek členů mafie o dva roky později. Za vlakový útok byli tři mafiáni odsouzeni na doživotí, dalšího z pachatelů zastřelila mafie při návratu od soudu. 	https://en.wikipedia.org/wiki/Train_904_bombing
22	1971	12	4	15	17	54.597269	-5.930109	Konflikt v Severním Irsku	Belfastský bar McGurk's, často navštěvovaný irskými katolíky, se stal cílem útoku v dubnu 1971. Zpočátku ho policie vyšetřovala jako neopatrnou manipulaci s bombou ze strany členů IRA. Teprve později se ukázalo, že šlo o útok loyalistů ze skupiny UVF. V roce 1976 byl za akci na doživotí odsouzen člen UVF Robert Campbell. Propuštěn byl po patnácti letech vězení.	https://en.wikipedia.org/wiki/McGurk%27s_Bar_bombing
23	2001	9	27	15	18	47.174589	8.513854	Ostatní	Do parlamentu švýcarského kantonu ve městě Zug vnikl na 27. září Friedrich Leibacher, ozbrojený útočnou puškou. Po několika neúspěšných žalobách na stát byl přesvědčený, že jde o bezpráví, a rozhodl se pomstít. Zabil čtrnáct politiků a na závěr zastřelil i sebe. Švýcarsko následně zvýšilo bezpečnostní opatření: Leibacher si dokázal zbraň opatřit i přes diagnózu paranoidní poruchy osobnosti. Zároveň zavedlo ombudsmany, kteří zkoumají stížnosti na státní správu.	https://en.wikipedia.org/wiki/Zug_massacre
24	1978	2	17	12	30	54.597269	-5.930109	Konflikt v Severním Irsku	V únoru 1978 nastražila IRA zápalnou bombu před hotelem La Mon v Belfastu. Útočníci se snažili varovat možné oběti přes telefon, ale dovolali se až devět minut před plánovaným výbuchem. Den po výbuchu se IRA omluvila za neadekvátní varování. Žádný z útočníků nebyl zadržen. V roce 2012 se objevily spekulace o tom, že dva z útočníků byli dvojití britští agenti, zaměstnanci tajné služby MI5.	https://en.wikipedia.org/wiki/La_Mon_restaurant_bombing
25	1980	9	26	13	211	48.139126	11.580186	Extrémní pravice	Bomba u vchodu na mnichovský Oktoberfest v roce 1980 zabila třináct lidí, zranila dalších 211. Mezi mrtvými byl i útočník, Gundolf Köhler, sympatizant neonacistické skupiny Wehrsportgruppe Hoffmann. Tehdejší vyšetřovatel konstatoval, že útočník jednal sám. V roce 2014 se ale na základě nových svědectví případ znovu otevřel. 	https://en.wikipedia.org/wiki/Oktoberfest_terror_attack
26	1976	6	27	11	0	37.97918	23.716647	Arabský a islámský terorismus	Lidová fronta pro osvobození Palestiny spojila v červnu 1976 síly s německými Revolučními buňkami; jejich cílem se stal let 139 společnosti Air France z Tel Avivu do Paříže. Letadlo s 248 pasažéry na palubě odklonili do Ugandy, ovládané vojenským diktátorem Idim Aminem. Neizraelské pasažéry únosci propustili, Izraelce a posádku si nechali jako rukojmí. Výměnou za jejich svobodu pak požadovali propuštění padesáti palestinských extremistů. Izrael dohodu odmítl a místo ní zahájil operaci Entebbe, kdy mělo rukojmí osvobodit komando. Při zásahu zemřeli kromě sedmi únosců tři rukojmí a jeden izraelský voják. Zemřelo také přes padesát ugandských vojáků, kromě toho Izraelci zničili třicet ugandských stíhaček. Podle události byl natočen film Operace Blesk.	https://en.wikipedia.org/wiki/Operation_Entebbe
27	1974	2	4	12	38	53.717059	-1.635032	Konflikt v Severním Irsku	"Bomba, kterou nastražila IRA do zavazadlového prostoru autobusu, zabila devět vojáků mimo službu a tři civilisty. Za útok byla spěšně odsouzena duševně nemocná Judith Ward. Velká část důkazů byla zfalšována, samotná IRA navíc vydala prohlášení, že ""slečna Wardová nemá s útoky nic společného"". Přesto byla odsouzena k trestu odnětí svobody. Trest byl odvolacím soudem zrušen až po osmnácti letech věznění."	https://en.wikipedia.org/wiki/M62_coach_bombing
28	1974	8	4	12	48	44.49419	11.346518	Extrémní pravice	Dvanáct obětí si vyžádala bomba, kterou odpálila neofašistická skupina Ordine Nero ve vlaku Řím - Mnichov. Šlo o odvetu za fašistu Giancarlo Espostiho, kterého policie zastřelila při útěku o rok dřív. Mario Tuti, podezřelý z útoku, při zatýkání zastřelil dva italské policisty, zadržen byl až později ve Francii. Za obě vraždy byl odsouzen na dva doživotní tresty, za teroristický útok na dalších dvacet let. Později mu byl trest navýšen o další doživotí; ve vězení zabil Ermanno Buzziho, zodpovědného za teroristický útok v Brescii v roce 1974. V roce 1987 Tuti organizoval vězeňskou vzpouru ve věznici v Porto Azzurro, to mu vyneslo dalších čtrnáct let a dva měsíce.	https://en.wikipedia.org/wiki/Italicus_Express_bombing_1974
29	1974	9	13	13	71	40.416691	-3.700345	Baskický separatismus	Bombový útok na madridskou kavárnu Rolando stál životy třinácti lidí a 71 zraněných. Cílem baskických separatistů z ETA byli policisti z protějšího policejního ředitelství, kteří sem chodili na kávu. Tomu odpovídal i čas výbuchu: v pátek po obědě. Mezi oběťmi byli dva policisté a jedenáct zaměstnanců kavárny.	https://en.wikipedia.org/wiki/Cafeter%C3%ADa_Rolando_bombing
30	1989	9	22	11	21	51.22181	1.402734	Konflikt v Severním Irsku	Sedm kilogramů trhaviny odpálila IRA v kasárnách námořní pěchoty ve městě Deal. Za cíl si vybrala výcvikové středisko vojenské kapely. Zemřelo jedenáct hudbymilovných rekrutů kolem dvaceti let, dalších 21 bylo zraněno. Nikdo nebyl zadržen.	https://en.wikipedia.org/wiki/Deal_barracks_bombing
31	1987	11	7	12	63	54.346531	-7.640404	Konflikt v Severním Irsku	Každý rok na začátku listopadu si Britové připomínají své mrtvé v obou světových válkách. Na tento den nastražila IRA bombu nedaleko pomníku padlým v městečku Enniskillen. Cílem měli být pochodující vojáci, místo nich zemřelo 12 civilistů, zraněno bylo 63 lidí. IRA se za útok omluvila.	https://en.wikipedia.org/wiki/Remembrance_Day_bombing
32	1987	12	11	11	88	41.656285	-0.876533	Baskický separatismus	Baskičtí separatisti z ETA zaparkovali auto s 250 kilogramy výbušniny před kasárna ve španělské Zaragoze. Výbuch stál životy jedenácti lidí, převážně nevojáků, a 88 zraněných. Do roku 1992 byla zadržena čtveřice francouzských útočníků i tříčlenné vedení ETA. Dostali tresty od deseti do 4 800 let vězení.	https://en.wikipedia.org/wiki/1987_Zaragoza_Barracks_bombing
33	1974	5	28	8	102	45.539838	10.222956	Extrémní pravice	Bomba, ukrytá v odpadkovém koši, zabila v italské Brescii osm a zranila přes sto lidí. Vybuchla během antifašistické demonstrace. Útok zřejmě zorganizovala extrémní pravice, soud dodnes nebyl uzavřen. 	https://en.wikipedia.org/wiki/Piazza_della_Loggia_bombing
34	1988	7	11	9	98	37.746798	23.426758	Arabský a islámský terorismus	Exploze bomby, umístěné v osobním autě, nejprve v řeckém přístavu Pireus zabila dva lidi. Šlo zřejmě o pokus potopit trajekt Poros, bomba ale vybuchla předčasně. Na trajekt s 470 pasažéry později zaútočili tři ozbrojenci, hlásící se k palestinské skupině Abú Nidal. Vyšetřování odhalilo spolupráci útočníků s Libyí.	https://en.wikipedia.org/wiki/City_of_Poros_(ship)
35	1976	1	5	10	1	54.62713	-6.655224	Konflikt v Severním Irsku	Ozbrojenci IRA zastavili nedaleko vesnice Kingsmill minibus s jedenácti ulsterskými protestanty. Deset mužů bylo na místě zastřeleno, jeden střelbu přežil. Útok byl odvetou za zabití šesti katolíků o den dříve.	https://en.wikipedia.org/wiki/Kingsmill_massacre
36	2007	11	7	9		60.40393	25.026451	Ostatní		https://en.wikipedia.org/wiki/Jokela_school_shooting
37	1991	5	29	9	50	41.930291	2.25435	Baskický separatismus		https://en.wikipedia.org/wiki/1991_Vic_bombing
38	1987	5	8	9	0	54.411142	-6.600146	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Loughgall_ambush
39	1986	7	14	9	40	40.416691	-3.700345	Baskický separatismus		https://en.wikipedia.org/wiki/Plaza_Rep%C3%BAblica_Dominicana_bombing
40	1985	2	28	9	30	54.18006	-6.33393	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/1985_Newry_mortar_attack
41	1977	1	24	9	0	40.416691	-3.700345	Extrémní pravice		https://en.wikipedia.org/wiki/1977_Massacre_of_Atocha
42	1972	7	31	9		54.910864	-7.15523	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Claudy_bombing
43	1982	7	20	9	49	51.500152	-0.126236	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Hyde_Park_and_Regent%27s_Park_bombings
44	1992	1	17	8	7	54.645861	-6.745149	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Teebane_bombing
45	1990	12	8	8	15	41.54862	2.107421	Baskický separatismus		https://en.wikipedia.org/wiki/1990_Sabadell_attack
46	1988	8	20	8	28	54.600305	-7.298402	Konflikt v Severním Irsku		http://www.lightinfantry.me.uk/ballgawly%20bus%20bombing.htm
47	1983	7	15	8	55	48.856614	2.352222	Ostatní		https://en.wikipedia.org/wiki/Orly_Airport_attack
48	1979	5	26	8	39	40.416691	-3.700345	Extrémní levice		http://elpais.com/diario/1981/07/02/espana/362872806_850215.html, http://es.metapedia.org/wiki/Atentado_en_California_47
49	1977	5	23	8	0	53.076694	6.617635	Ostatní		https://en.wikipedia.org/wiki/1977_Dutch_train_hostage_crisis
50	1972	5	28	8		54.597269	-5.930109	Konflikt v Severním Irsku		http://cain.ulst.ac.uk/othelem/chron/ch72.htm#May
51	2012	7	18	7	30	42.570278	27.515278	Arabský a islámský terorismus		https://en.wikipedia.org/wiki/2012_Burgas_bus_bombing
52	2009	5	1	7	12	52.211157	5.969923	Ostatní		https://en.wikipedia.org/wiki/2009_attack_on_the_Dutch_Royal_Family
53	1995	7	25	7	86	48.856614	2.352222	Arabský a islámský terorismus		https://en.wikipedia.org/wiki/1995_Paris_M%C3%A9tro_and_RER_bombings
54	1991	4	19	7	6	38.254465	21.737066	Arabský a islámský terorismus		http://www.jta.org/1992/07/20/archive/greek-court-gives-palestinians-stiff-sentences-for-1991-bombing
55	1985	11	9	7	3	50.9341	4.04513	Ostatní		https://en.wikipedia.org/wiki/Brabant_killers
56	1983	7	27	7	3	38.725299	-9.150036	Ostatní		https://en.wikipedia.org/wiki/1983_Turkish_embassy_attack_in_Lisbon
57	1972	2	1	7	17	54.597269	-5.930109	Konflikt v Severním Irsku		http://cain.ulst.ac.uk/othelem/chron/ch72.htm#May
58	1972	2	22	7	19	51.248429	-0.755979	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/1972_Aldershot_bombing
59	1972	3	20	7		54.597269	-5.930109	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/1972_Donegall_Street_bombing
60	1970	2	13	7	9	48.139126	11.580186	Ostatní		http://www.haaretz.com/jewish-world/jewish-world-news/report-radical-left-responsible-for-1970-munich-attack-on-jewish-retirement-home-1.451008
61	1995	12	11	6	12	40.416691	-3.700345	Baskický separatismus		https://en.wikipedia.org/wiki/1995_Vallecas_bombing
62	1994	6	18	6	5	54.336787	-5.825816	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Loughinisland_massacre
63	1992	5	23	6	9	38.11564	13.361406	Ostatní		https://en.wikipedia.org/wiki/Giovanni_Falcone
64	1988	6	15	6	10	54.510893	-6.042726	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/1988_Lisburn_van_bombing
65	1982	8	9	6	22	48.856614	2.352222	Arabský a islámský terorismus		https://en.wikipedia.org/wiki/Goldenberg_restaurant_attack
66	1980	2	1	6	0	43.256963	-2.923441	Baskický separatismus		https://en.wikipedia.org/wiki/1980_Ispaster_attack
67	1976	7	2	6		54.713382	-6.216761	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Ramble_Inn_attack
68	1975	4	12	6		54.597269	-5.930109	Konflikt v Severním Irsku		http://www.belfasttelegraph.co.uk/news/northern-ireland/man-held-over-1975-bar-bomb-attack-28721734.html
69	1974	5	2	6		54.597269	-5.930109	Konflikt v Severním Irsku		http://www.itnsource.com/shotlist//RTV/1974/05/03/BGY509100090/?s=rescuers
70	1973	6	12	6		55.129345	-6.663439	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/1973_Coleraine_bombings
71	1972	7	21	6		54.597269	-5.930109	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Bloody_Friday_(1972)
72	1970	6	27	6	1	54.99451	-7.319996	Konflikt v Severním Irsku		
73	1992	2	5	5	9	54.597269	-5.930109	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Sean_Graham_bookmakers%27_shooting
74	1992	2	6	5	6	40.416691	-3.700345	Baskický separatismus		https://en.wikipedia.org/wiki/1992_Madrid_attack
75	1992	7	19	5	0	38.11564	13.361406	Ostatní		https://en.wikipedia.org/wiki/Massacre_of_Via_D%27Amelio
76	1990	10	24	5	16	55.033471	-7.357761	Konflikt v Severním Irsku		https://en.wikipedia.org/wiki/Proxy_bomb
77	1988	4	14	5	17	40.840097	14.251636	Extrémní levice		http://www.nytimes.com/1988/04/15/world/5-die-in-blast-outside-uso-in-naples.html
78	1986	4	25	5	2	40.416691	-3.700345	Baskický separatismus		http://www.demotix.com/news/1830153/eta-attack-kills-5-guardia-civil-men-madrid#media-1830116
79	1986	9	17	5	60	48.856614	2.352222	Arabský a islámský terorismus		http://www.nytimes.com/1986/09/26/world/france-arrests-9-in-paris-bombings.html
